# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  3.7159e-04,  4.5742e-05
1.1775,  0.0350,  4.3417e-04,  3.9161e-05
1.2125,  0.0350,  4.2538e-04,  3.8551e-05
1.2475,  0.0350,  4.9248e-04,  3.7332e-05
1.2825,  0.0350,  4.6156e-04,  3.7045e-05
1.3175,  0.0350,  4.7643e-04,  3.3015e-05
1.3525,  0.0350,  3.6572e-04,  3.4919e-05
1.3875,  0.0350,  3.2046e-04,  3.1044e-05
1.4225,  0.0350,  3.2154e-04,  3.6240e-05
1.4575,  0.0350,  3.9611e-04,  3.6206e-05
1.4925,  0.0350,  4.3958e-04,  3.2758e-05
1.5275,  0.0350,  4.5925e-04,  3.4709e-05
1.5625,  0.0350,  5.9553e-04,  3.5976e-05
1.5975,  0.0350,  6.1533e-04,  3.6983e-05
1.6325,  0.0350,  7.3317e-04,  4.2360e-05
@irac
3.6000,  1.0000,  3.3077e-03,  7.3622e-05
4.5000,  1.0000,  4.0384e-03,  1.3999e-04
